X1MOMEDU,X1DADEDU,X1SES,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT,X1SCHOOLBEL,X1SCHOOLENG,X1STUEDEXPCT,X1PAREDEXPCT,X1SCHOOLCLI,X1COUPERTEA,X1COUPERCOU,X1COUPERPRI,X3TGPA9TH,S1NOHWDN,S1NOPAPER,S1NOBOOKS,S1LATE,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,S1FRNDGRADES,S1FRNDSCHOOL,S1FRNDCLASS,S1FRNDCLG,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1SUREHSGRAD,P1BEHAVE,P1ATTEND,P1PERFORM,X4EVERDROP,X4PSENRSTLV
2,2,-0.5381,-1.14,-1.68,-0.89,-0.89,-1.05,-0.37,0.71,6,10,-0.7,0.23,0.26,-0.33,3.0,2,1,1,2,3,4,2,3,1,2,1,1,1,1,1.0,1,1,1,1,0,1
2,2,-0.3694,-1.02,-0.18,-0.33,-0.59,-1.38,-1.0,-1.0,2,6,-0.23,-0.6,-2.67,0.0,2.0,3,3,2,2,3,3,3,2,1,2,1,1,1,1,1.0,2,1,1,1,0,0
1,0,-1.7526,0.1,-0.66,0.1,0.25,-1.84,-0.39,-0.5,8,6,-0.3,-0.6,0.68,1.1,3.5,2,2,2,3,3,3,3,3,1,2,1,1,1,2,2.0,1,1,1,1,0,1
4,7,1.6587,-1.02,0.19,0.84,0.56,1.64,0.45,0.23,8,10,-0.69,1.56,1.15,1.1,3.5,2,1,2,2,3,2,3,4,1,1,1,1,2,2,2.0,1,1,1,1,0,1
4,7,2.0218,0.95,0.96,1.27,1.1,0.15,0.78,1.09,10,8,-1.77,-0.33,0.74,0.69,3.5,1,1,1,2,4,4,4,4,1,1,1,1,5,5,5.0,1,1,1,1,0,1
2,2,-0.0998,-0.17,0.14,0.1,-0.48,0.16,-0.39,1.01,2,4,-0.7,-1.09,-1.38,-1.11,3.5,2,1,1,1,3,3,3,2,1,1,1,1,2,1,1.0,2,1,1,1,0,1
2,2,-0.2813,-0.75,0.19,-1.5,-1.33,-1.38,0.19,-0.07,10,2,0.56,0.31,-0.46,-1.34,2.0,2,1,2,3,3,4,2,4,1,1,1,1,1,2,2.0,1,2,2,1,1,0
2,4,-0.231,-0.17,-0.18,-0.76,0.25,-1.0,1.1,-0.05,8,6,0.56,-0.8,0.26,0.35,3.0,4,1,1,2,4,4,4,4,1,1,1,1,1,1,2.0,1,1,1,1,0,0
2,2,-0.5803,0.55,0.87,1.27,0.68,0.93,0.1,-0.58,6,4,0.22,0.02,-0.75,-0.91,2.5,3,2,2,2,4,3,4,4,2,2,1,1,2,2,1.0,2,1,1,1,0,1
5,7,2.1586,1.34,2.08,0.71,1.1,0.16,0.21,1.39,10,6,-2.4,0.66,0.26,1.1,4.0,1,1,1,1,4,4,3,4,1,1,1,1,1,1,1.0,1,1,1,1,0,1
0,2,0.0865,-0.17,0.49,0.66,0.25,0.86,-0.37,0.71,11,4,-0.43,1.07,0.61,1.1,2.5,2,1,1,2,4,4,3,3,1,2,1,1,2,2,3.0,1,1,1,1,0,0
4,0,0.2028,-0.58,0.39,-0.89,-2.07,-2.59,0.18,0.03,11,6,1.21,0.36,0.21,0.59,1.0,3,1,1,3,2,4,4,3,1,2,1,2,2,1,2.0,1,2,1,2,0,0
3,2,0.0884,0.1,0.19,0.1,-0.05,0.16,0.98,1.39,8,6,-2.12,-0.81,-1.5,0.0,4.0,1,1,1,1,3,3,3,3,1,1,1,1,2,1,3.0,1,1,1,1,0,1
3,0,-0.9782,1.34,1.41,-1.5,-0.05,0.16,-0.39,1.01,6,8,-1.51,-0.8,-0.36,-1.11,2.5,2,1,1,1,4,4,2,3,1,1,1,1,2,1,3.0,1,1,1,1,0,0
5,0,0.984,0.1,-0.89,0.1,0.25,1.7,-1.28,0.21,8,8,-1.74,-0.81,-0.56,-0.82,3.5,3,2,1,1,3,3,3,3,1,1,2,1,1,1,2.0,1,1,4,1,0,1
4,4,-0.0322,0.22,0.86,1.27,1.42,1.64,1.1,1.01,11,6,-0.7,0.23,0.26,-0.33,3.0,2,1,1,1,4,3,2,4,1,2,1,1,2,2,4.0,1,1,1,1,0,1
1,1,-0.7627,0.1,0.55,-1.5,-0.89,-1.82,-0.87,0.23,4,5,0.17,-0.32,0.26,-1.75,2.5,2,1,2,2,2,3,4,3,1,2,1,1,1,1,1.0,1,1,2,1,0,1
4,2,-0.1513,0.1,-0.24,1.27,0.25,0.54,-0.04,0.9,10,6,0.56,0.51,-0.9,0.69,3.5,1,1,2,1,4,4,4,3,1,1,1,1,2,2,3.0,1,1,1,1,0,1
7,4,1.7567,-0.56,0.19,-0.47,-0.48,0.16,-0.39,1.39,6,6,-0.61,1.07,1.15,1.1,3.0,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,1,1
2,5,0.122,0.94,0.86,0.66,-0.46,-0.67,0.77,1.01,10,8,-1.42,1.36,1.15,0.8,3.5,2,1,1,1,1,3,2,4,1,1,1,1,2,2,2.0,1,1,1,1,0,0
2,2,-0.3442,0.1,-0.18,0.1,0.25,0.16,-0.04,1.01,9,6,0.69,-1.57,-0.96,-1.11,3.5,2,1,1,1,4,4,3,3,2,2,2,1,1,1,1.0,1,1,1,1,0,1
3,4,0.9349,1.34,0.85,-0.28,1.1,0.16,1.59,0.14,8,8,-0.52,0.24,0.68,0.74,2.5,3,1,2,1,4,4,3,3,1,1,1,1,3,2,4.0,1,1,1,1,0,1
5,4,1.4352,0.1,1.23,0.1,1.83,-0.6,-0.39,0.71,10,8,-1.98,1.09,1.15,1.1,4.0,2,1,1,2,4,3,3,3,1,1,1,1,2,1,2.0,1,1,1,1,0,1
1,3,-0.1266,-2.48,-1.98,-1.88,-1.2,-0.98,-0.95,1.09,10,10,0.25,-1.09,-0.81,-1.66,2.0,1,1,1,2,2,4,4,4,2,2,1,1,1,1,1.0,1,2,1,1,0,0
4,5,0.9312,0.55,0.55,0.84,0.28,0.56,0.77,1.09,8,10,-0.63,1.56,1.15,1.1,2.0,1,1,1,2,4,4,3,4,1,2,1,1,2,2,3.0,1,2,1,2,0,1
1,1,-0.9016,-0.58,-0.96,-0.33,-2.91,-2.22,0.1,0.11,8,11,-0.77,-0.6,-1.25,-0.76,1.5,3,3,2,2,3,3,2,3,1,2,1,1,1,1,1.0,2,1,2,2,0,0
3,5,1.0498,0.55,0.96,0.1,0.25,0.54,0.21,1.09,6,8,1.74,1.27,1.15,0.74,3.5,1,1,1,2,4,4,3,3,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,0,-0.4907,0.1,0.19,1.27,0.25,0.5,-0.04,-0.2,10,8,0.04,1.56,1.15,1.1,3.5,2,2,2,2,3,3,3,3,1,1,1,1,3,2,2.0,1,1,1,1,0,1
5,4,1.2984,0.1,0.19,0.1,0.25,0.09,-0.59,0.59,10,10,-0.68,1.36,1.15,1.1,3.5,2,2,1,1,4,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,2,-0.4024,-0.56,-0.66,-0.89,-0.91,-0.54,-0.39,-0.88,9,10,-0.24,0.87,0.55,0.95,3.5,3,2,2,3,3,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,4,0.0876,-0.61,0.19,1.69,0.25,0.93,-0.39,-0.66,8,6,-1.27,1.07,1.15,1.1,2.0,4,2,2,1,3,3,3,3,1,1,1,1,1,1,1.0,2,1,1,1,0,1
2,1,-0.6659,-1.14,-0.96,-0.47,-0.49,0.16,-1.2,-1.06,8,2,-0.57,-0.8,-1.03,-1.18,1.5,3,2,3,2,2,2,2,2,2,2,1,1,1,1,1.0,2,2,3,4,1,0
5,0,1.4591,1.21,0.19,1.08,1.41,1.32,0.98,0.67,10,10,-0.66,0.81,-0.56,0.0,4.0,1,2,1,2,4,3,3,3,1,1,1,1,3,4,4.0,1,1,1,1,0,1
0,2,-0.8455,-0.17,-1.68,1.27,0.25,0.16,-0.17,-1.21,11,11,-0.81,0.11,0.55,0.75,2.5,4,1,4,1,3,3,3,3,1,2,1,1,1,1,1.0,1,1,2,1,0,0
1,1,-0.8049,0.1,-0.18,0.1,-1.02,-0.17,0.49,-0.72,4,2,0.12,0.87,0.61,0.54,3.0,4,1,3,1,2,3,3,3,1,1,1,1,1,1,1.0,1,1,1,2,1,1
2,2,-0.0649,0.1,0.19,-0.89,0.25,0.49,-0.39,0.1,11,2,-0.79,-1.09,-2.13,-1.25,3.0,2,2,2,1,2,3,3,2,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,0,-0.4728,0.1,0.12,0.1,0.25,1.38,0.9,1.01,10,6,-0.7,-1.09,-1.38,0.0,2.5,2,1,1,1,4,4,3,4,1,1,1,1,1,1,1.0,1,2,1,1,0,1
4,2,0.2802,0.1,0.57,-0.47,-0.05,0.5,-0.39,-0.2,6,6,-0.09,-1.56,-1.32,-0.76,3.5,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,0,0.215,0.1,0.14,0.66,0.25,0.09,1.59,0.1,8,6,1.67,0.26,0.68,1.1,3.5,2,2,2,1,3,4,3,3,1,1,1,1,1,2,2.0,1,1,1,1,1,1
2,0,-1.0862,-1.41,0.19,-3.1,-1.75,-1.5,-0.39,-0.7,2,1,-0.57,-0.8,-1.38,-1.11,1.5,3,2,2,4,2,3,1,2,1,1,1,1,2,1,1.0,1,4,4,4,1,0
2,1,-0.7924,0.55,0.49,0.28,-0.05,0.16,0.49,0.63,4,11,0.48,0.02,0.05,-0.76,2.0,3,1,1,1,1,2,3,4,1,1,1,1,1,1,1.0,1,1,2,1,0,0
2,2,-0.7549,0.1,0.19,1.27,1.83,0.93,0.41,1.01,6,2,0.14,1.07,1.15,1.1,2.0,2,1,1,1,1,4,3,4,1,1,1,1,5,5,5.0,1,1,1,1,0,1
2,2,-0.2103,1.62,1.6,0.71,1.42,2.03,1.59,1.01,10,11,-0.41,-0.6,-0.02,-0.34,1.5,2,1,1,1,4,4,4,4,1,1,1,1,2,2,2.0,1,1,1,1,0,0
2,5,0.3709,-0.69,-1.68,1.69,0.25,0.82,-1.18,-0.2,4,6,0.41,0.52,-0.36,0.35,1.5,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1.0,1,2,1,1,0,1
2,2,-0.4293,-0.41,-0.36,0.28,0.25,-1.44,-0.26,-0.15,8,10,-1.71,-0.54,0.61,0.4,3.5,3,1,2,2,4,4,3,3,1,1,1,1,1,1,1.0,1,2,1,2,0,0
4,4,0.2533,1.07,-0.36,-1.13,-0.59,-1.84,-0.04,-0.15,11,6,0.39,0.81,-0.15,0.0,2.0,3,1,2,2,4,2,2,3,1,1,1,1,1,1,2.0,2,1,1,2,0,0
3,3,0.2807,0.1,-0.18,0.1,0.25,1.71,-0.39,1.01,8,8,0.17,0.36,-0.21,-0.25,3.5,2,1,1,1,3,3,3,3,1,1,1,1,2,2,2.0,1,1,1,1,0,1
2,0,-0.7751,-0.97,-1.43,1.69,-1.74,-2.15,1.09,0.96,2,10,-0.56,-0.8,-0.08,0.35,3.5,1,2,1,1,2,3,3,3,1,2,1,2,2,1,3.0,1,1,2,1,0,1
2,5,0.5592,1.62,-0.22,0.71,1.09,1.38,1.23,0.48,10,10,-0.61,0.81,-0.15,0.0,4.0,1,2,2,1,4,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
4,0,0.3202,-0.17,0.19,-0.47,-0.05,0.16,-0.39,-0.2,6,6,-0.22,0.78,1.15,1.1,3.5,2,2,2,2,3,3,3,3,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,1,-1.1259,0.1,0.19,-0.33,-0.17,-1.0,-0.39,-1.71,6,3,-2.56,-0.12,0.21,1.1,1.0,2,3,3,4,3,3,2,3,1,2,2,1,1,1,1.0,1,4,3,1,1,1
0,2,0.2157,-0.17,0.57,-1.45,-0.16,-0.99,-0.39,-1.41,3,4,0.25,-1.09,-0.81,-1.66,1.0,2,3,3,3,3,3,3,4,2,1,1,1,1,1,1.0,1,2,1,2,1,1
3,2,-0.4726,-0.17,-1.33,1.69,1.83,-0.6,-0.64,-0.66,5,2,-0.23,0.66,1.15,1.1,2.0,4,2,2,1,3,3,3,2,1,2,1,1,1,1,1.0,1,2,2,2,1,0
2,5,-0.1636,0.1,1.32,-0.33,-0.05,0.54,1.0,0.23,4,8,-1.12,0.78,-0.21,0.8,3.0,2,1,2,2,3,4,3,4,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,0,-0.6665,0.1,-0.16,-0.89,0.25,0.16,-0.88,1.09,8,4,1.14,1.56,1.15,1.1,0.25,1,1,1,2,2,3,3,4,2,2,1,2,1,1,1.0,1,1,1,2,0,0
2,0,-0.6333,-2.04,-1.68,-1.32,0.38,-1.38,-0.39,1.39,6,6,-0.22,0.78,1.15,1.1,1.0,1,1,1,1,2,3,3,2,1,1,1,1,1,1,1.0,1,2,1,1,1,0
4,3,1.0303,0.1,1.23,-0.33,-0.46,-0.67,-0.04,-0.58,11,8,-1.43,-0.25,-0.21,-0.31,3.0,3,2,2,2,4,4,4,3,1,1,1,1,1,2,1.0,2,1,1,1,0,1
3,2,0.0676,1.21,1.34,1.27,1.83,0.56,0.77,0.29,10,6,-0.41,-0.6,-0.02,-0.34,3.0,2,2,1,2,4,3,3,4,1,1,1,1,2,1,2.0,1,1,1,1,0,0
4,0,0.1079,0.1,0.14,0.15,-0.17,0.54,-0.34,-0.07,10,2,-2.17,-1.35,0.26,-1.68,0.5,2,1,2,3,4,4,3,4,1,1,2,1,3,2,1.0,1,1,1,3,0,0
2,2,-0.2751,1.62,-0.18,0.28,-1.33,0.86,-0.59,0.1,11,4,-1.42,1.36,1.15,1.1,2.5,2,2,2,1,3,3,3,3,1,1,1,1,3,2,4.0,1,1,1,1,1,0
2,2,0.101,0.1,-1.01,0.1,0.25,-0.28,-0.39,-0.2,2,6,-1.48,-0.25,-0.33,-1.11,2.5,2,2,2,2,2,3,3,2,1,1,1,1,2,2,2.0,1,1,1,1,0,1
3,5,0.5366,0.1,0.1,1.69,-0.89,0.09,0.12,-1.0,10,10,0.99,-1.38,0.68,0.35,3.0,3,3,2,2,4,4,2,4,1,2,1,1,2,2,2.0,1,2,1,1,0,1
4,4,1.1111,0.1,0.49,0.71,0.69,0.99,-0.04,0.67,8,10,0.25,-0.53,-1.38,-1.11,2.0,1,2,1,2,3,4,4,3,1,2,1,1,2,2,3.0,1,1,1,1,0,1
2,2,0.2565,0.82,0.14,1.27,0.25,-0.69,0.2,0.71,6,8,-0.07,-0.8,-1.38,-2.96,4.0,2,1,1,2,3,4,4,4,1,1,1,1,1,1,1.0,1,1,1,1,1,1
1,2,-0.9271,0.95,1.35,1.13,0.25,0.54,1.59,0.1,11,10,0.36,-0.31,-1.38,-1.11,3.0,2,2,2,1,4,4,4,4,1,1,1,1,2,2,2.0,1,1,1,1,0,1
7,4,1.9004,-0.73,-0.34,-0.47,0.25,0.99,-0.37,0.33,11,10,-1.54,0.51,-0.56,-0.76,2.5,3,1,1,2,3,4,3,4,1,2,1,1,2,2,1.0,1,2,1,1,0,1
5,4,0.9834,0.1,-0.16,0.1,0.25,0.16,0.21,1.39,10,6,-0.98,0.85,1.15,0.33,4.0,1,1,1,1,4,4,4,4,1,1,1,1,6,6,6.0,1,1,1,1,0,1
2,2,0.0489,-2.92,-0.29,-1.5,-2.04,-0.28,-0.39,-0.2,11,4,0.56,1.56,1.15,1.1,3.0,2,2,2,2,3,3,3,3,1,1,1,1,1,4,2.0,2,1,1,1,0,0
